country_text_id,COWcode,dac_code,vdem_text_id,country_name,valid_from,valid_to,in_unga,in_unsc,in_vdem,in_dac,sources,succession_note
NRU,970,NRU,NA,Nauru,2000,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
NSS,NA,NA,NSS,Nassau,1806,1866,FALSE,FALSE,TRUE,FALSE,vdem,NA
NZL,920,NZL,NZL,New Zealand,1841,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
NZL,NA,NZL,NZL,New Zealand,1970,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
OLD,NA,NA,OLD,Oldenburg,1789,1867,FALSE,FALSE,TRUE,FALSE,vdem,NA
OMN,698,OMN,OMN,Oman,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
OMN,NA,OMN,OMN,Oman,1960,2010,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
PAK,770,PAK,PAK,Pakistan,1947,2026,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
PAK,NA,PAK,PAK,Pakistan,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
PAN,95,PAN,PAN,Panama,1903,2026,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
PAN,NA,PAN,PAN,Panama,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
PER,135,PER,PER,Peru,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
PER,NA,PER,PER,Peru,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
PHL,840,PHL,PHL,Philippines,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
PHL,NA,PHL,PHL,Philippines,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
PLW,NA,PLW,NA,Palau,1992,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
PLW,986,PLW,NA,Palau,1995,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
PNG,910,PNG,PNG,Papua New Guinea,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
PNG,NA,PNG,PNG,Papua New Guinea,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
POL,290,POL,POL,Poland,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
POL,NA,POL,POL,Poland,1975,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
PPS,327,NA,PPS,Papal States,1789,1860,FALSE,FALSE,TRUE,FALSE,vdem,NA
PPS,NA,NA,PPS,Papal States,1861,1870,FALSE,FALSE,TRUE,FALSE,vdem,NA
PRK,731,PRK,PRK,North Korea,1945,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
PRK,NA,PRK,PRK,Democratic People’s Republic of Korea,1978,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
