"country","election_date","year","system_family","prev_mag","delta_log_mag_eff","n_pre","n_post","cmp_country","usable"
"Bolivia",1993-06-06,1993,"proportional",14.44,0,0,2,TRUE,FALSE
"Bolivia",1997-06-01,1997,"mixed",3.80854700854701,-1.33275437964936,0,2,TRUE,FALSE
"Brazil",1950-10-03,1950,"proportional",12.16,-0.0667974809235159,0,9,TRUE,FALSE
"Chile",1937-03-07,1937,"proportional",5.21,0.568774685413547,0,8,TRUE,FALSE
"Colombia",1947-03-16,1947,"proportional",8.19,-0.0638514719865331,0,6,TRUE,FALSE
"Colombia",2006-03-12,2006,"proportional",4.88,0,2,4,TRUE,FALSE
"Congo",1992-06-24,1992,"majoritarian",1,-2.21593728626837,0,0,FALSE,FALSE
"Cyprus",1985-12-08,1985,"proportional",9.33,0.113371558680501,0,5,TRUE,FALSE
"Ecuador",1998-05-31,1998,"mixed",7.3,0.462083191154287,1,5,TRUE,FALSE
"Ecuador",2002-10-20,2002,"proportional",4.5,-0.483796951378071,1,5,TRUE,FALSE
"Estonia",1992-09-20,1992,"proportional",8.42,-0.171975264739811,0,8,TRUE,FALSE
"Fiji",1999-05-08,1999,"majoritarian",1,-0.300104592450338,0,0,FALSE,FALSE
"France",1928-04-22,1928,"majoritarian",1,-1.86408013080768,0,19,TRUE,FALSE
"France",1946-11-10,1946,"proportional",5.33,1.67335123817775,0,19,TRUE,FALSE
"France",1951-06-17,1951,"mixed",5.28,-0.00942514045958287,1,18,TRUE,FALSE
"Germany",1920-06-06,1920,"proportional",11.0130821478918,-0.0647693882604021,0,21,TRUE,FALSE
"Greece",1928-08-19,1928,"majoritarian",2.55,-1.03101899753558,0,19,TRUE,FALSE
"Greece",1932-09-25,1932,"proportional",5.81395348837209,0.824167442998349,0,19,TRUE,FALSE
"Greece",1933-03-05,1933,"majoritarian",2.48,-0.852002241991793,0,19,TRUE,FALSE
"Greece",1935-06-09,1935,"majoritarian",7.89,1.15733757468089,0,19,TRUE,FALSE
"Greece",1936-01-26,1936,"proportional",7.89473684210526,0.000600180072031886,0,19,TRUE,FALSE
"Greece",1952-11-16,1952,"majoritarian",3.03,-0.730398451191071,0,19,TRUE,FALSE
"Greece",1956-02-19,1956,"mixed",7.32,0.882047708451942,0,19,TRUE,FALSE
"Greece",1958-05-11,1958,"proportional",5.45,-0.294994719298067,0,19,TRUE,FALSE
"Guatemala",1966-03-06,1966,"proportional",2.5,-0.182321556793955,0,0,FALSE,FALSE
"Iceland",1923-10-27,1923,"mixed",1.56,-0.0253178079842899,0,24,TRUE,FALSE
"Indonesia",2019-04-17,2019,"proportional",7.19,-0.0110651198124725,0,0,FALSE,FALSE
"Ireland",1948-02-04,1948,"proportional",3.68,-0.0982702214328015,0,21,TRUE,FALSE
"Israel",1951-07-30,1951,"proportional",120,0,1,24,TRUE,FALSE
"Italy",1948-04-18,1948,"proportional",18.52,0.677078275620745,1,18,TRUE,FALSE
"Italy",1953-06-07,1953,"mixed",19.03,0.0271654520900251,2,17,TRUE,FALSE
"Italy",2018-03-04,2018,"mixed",251.803174603175,2.36190765872081,18,1,TRUE,FALSE
"Japan",1947-04-25,1947,"majoritarian",3.98,-0.787771881073177,0,21,TRUE,FALSE
"Lithuania",1992-10-25,1992,"mixed",35.2553191489362,0.911489362013915,0,8,TRUE,FALSE
"Lithuania",2000-10-08,2000,"mixed",35.2553191489362,0,2,6,TRUE,FALSE
