wave,question_id,harmonized_name,section,stem_text,item_text,response_scale,notes
y2024,q5_2_2,belong_town,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2-2) 나는 현재 살고 있는 읍·면·동에 강한 소속감을 가지고 있다,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2018,q9,dem_prospect,Demographics (응답자 특성),,년 월,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
y2019,q9,dem_prospect,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 5년 후 우리나라 민주주의 수준이 어떻게 변화할 것이라고 생각하십니까? 매우 나빠질 것이다,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
y2020,q9,dem_prospect,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 5년 후 우리나라 민주주의 수준이 어떻게 변화할 것이라고 생각하십니까?,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
y2021,q9,dem_prospect,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 5년 후 우리나라 민주주의 수준이 어떻게 변화할 것이라고 생각하십니까?,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
y2022,q9,dem_prospect,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 5년 후 우리나라 민주주의 수준이 어떻게 변화할 것이라고 생각하십니까?,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
y2018,q8,dem_satisfaction,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 현재 우리나라 민주주의 수준에 대하여 어느 정도 만족하고 있습니까?,0=전혀 만족하지 않는다 (Not at all satisfied); 5=보통 (Average); 10=매우 만족한다 (Very satisfied),
y2019,q8,dem_satisfaction,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 현재 우리나라 민주주의 수준에 대하여 어느 정도 만족하고 있습니까? 전혀 만족하지 않는다,0=전혀 만족하지 않는다 (Not at all satisfied); 5=보통 (Average); 10=매우 만족한다 (Very satisfied),
y2020,q8,dem_satisfaction,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 현재 우리나라 민주주의 수준에 대하여 어느 정도 만족하고 있습니까?,0=전혀 만족하지 않는다 (Not at all satisfied); 5=보통 (Average); 10=매우 만족한다 (Very satisfied),
y2021,q8,dem_satisfaction,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 현재 우리나라 민주주의 수준에 대하여 어느 정도 만족하고 있습니까?,0=전혀 만족하지 않는다 (Not at all satisfied); 5=보통 (Average); 10=매우 만족한다 (Very satisfied),
y2022,q8,dem_satisfaction,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 현재 우리나라 민주주의 수준에 대하여 어느 정도 만족하고 있습니까?,0=전혀 만족하지 않는다 (Not at all satisfied); 5=보통 (Average); 10=매우 만족한다 (Very satisfied),
y2013,q7,econ_nat_prospect,,,귀하는 5년 후 우리나라의 경제 상황이 어떻게 변화할 것이라고 생각하십니까? 1 북한은 우리의 적이다 2 북한은 우리의 절친한 친구이다 3 적도 친구도 아니다,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
y2015,q9,econ_nat_prospect,Demographics (응답자 특성),,년 월 일,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
y2016,q9,econ_nat_prospect,Demographics (응답자 특성),,년 월,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
y2017,q9,econ_nat_prospect,Demographics (응답자 특성),,년 월,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
y2018,q11,econ_nat_prospect,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),,귀하는 5년 후 우리나라 경제 상황이 어떻게 변화할 것이라고 생각하십니까?,0=매우 나빠질 것이다 (Will get much worse); 5=보통 (Average); 10=매우 좋아질 것이다 (Will get much better),
