country_name_raw,term_start_year,term_end_year,n_years,split_term,regional_group,arab_seat,col_index
Syria,2002,2003,2,0,Asia-Pacific,1,2
Mexico,2002,2003,2,0,Eastern European,0,3
Bulgaria,2002,2003,2,0,GRULAC,0,4
Angola,2003,2004,2,0,African,0,0
Pakistan,2003,2004,2,0,Asia-Pacific,0,1
Chile,2003,2004,2,0,GRULAC,0,2
Germany,2003,2004,2,0,WEOG,0,3
Spain,2003,2004,2,0,WEOG,0,4
Benin,2004,2005,2,0,African,0,0
Algeria,2004,2005,2,0,African,1,1
Philippines,2004,2005,2,0,Asia-Pacific,0,2
Brazil,2004,2005,2,0,Eastern European,0,3
Romania,2004,2005,2,0,GRULAC,0,4
Tanzania,2005,2006,2,0,African,0,0
Japan,2005,2006,2,0,Asia-Pacific,0,1
Argentina,2005,2006,2,0,GRULAC,0,2
Denmark,2005,2006,2,0,WEOG,0,3
Greece,2005,2006,2,0,WEOG,0,4
Ghana,2006,2007,2,0,African,0,0
Republic of the Congo,2006,2007,2,0,African,0,1
Qatar,2006,2007,2,0,Asia-Pacific,1,2
Peru,2006,2007,2,0,Eastern European,0,3
Slovakia,2006,2007,2,0,GRULAC,0,4
South Africa,2007,2008,2,0,African,0,0
Indonesia,2007,2008,2,0,Asia-Pacific,0,1
Panama,2007,2008,2,0,GRULAC,0,2
Belgium,2007,2008,2,0,WEOG,0,3
Italy,2007,2008,2,0,WEOG,0,4
Burkina Faso,2008,2009,2,0,African,0,0
Libya,2008,2009,2,0,African,1,1
Vietnam,2008,2009,2,0,Asia-Pacific,0,2
Costa Rica,2008,2009,2,0,Eastern European,0,3
Croatia,2008,2009,2,0,GRULAC,0,4
Uganda,2009,2010,2,0,African,0,0
Japan,2009,2010,2,0,Asia-Pacific,0,1
Mexico,2009,2010,2,0,GRULAC,0,2
Austria,2009,2010,2,0,WEOG,0,3
Turkey,2009,2010,2,0,WEOG,0,4
Nigeria,2010,2011,2,0,African,0,0
Gabon,2010,2011,2,0,African,0,1
Lebanon,2010,2011,2,0,Asia-Pacific,1,2
Brazil,2010,2011,2,0,Eastern European,0,3
Bosnia and Herzegovina,2010,2011,2,0,GRULAC,0,4
South Africa,2011,2012,2,0,African,0,0
India,2011,2012,2,0,Asia-Pacific,0,1
Colombia,2011,2012,2,0,GRULAC,0,2
Germany,2011,2012,2,0,WEOG,0,3
Portugal,2011,2012,2,0,WEOG,0,4
Togo,2012,2013,2,0,African,0,0
Morocco,2012,2013,2,0,African,1,1
Pakistan,2012,2013,2,0,Asia-Pacific,0,2
Guatemala,2012,2013,2,0,Eastern European,0,3
Azerbaijan,2012,2013,2,0,GRULAC,0,4
Rwanda,2013,2014,2,0,African,0,0
South Korea,2013,2014,2,0,Asia-Pacific,0,1
Argentina,2013,2014,2,0,GRULAC,0,2
Australia,2013,2014,2,0,WEOG,0,3
Luxembourg,2013,2014,2,0,WEOG,0,4
Nigeria,2014,2015,2,0,African,0,0
Chad,2014,2015,2,0,African,0,1
Jordan,2014,2015,2,0,Asia-Pacific,1,2
Chile,2014,2015,2,0,Eastern European,0,3
Lithuania,2014,2015,2,0,GRULAC,0,4
Angola,2015,2016,2,0,African,0,0
Malaysia,2015,2016,2,0,Asia-Pacific,0,1
Venezuela,2015,2016,2,0,GRULAC,0,2
New Zealand,2015,2016,2,0,WEOG,0,3
Spain,2015,2016,2,0,WEOG,0,4
Senegal,2016,2017,2,0,African,0,0
Egypt,2016,2017,2,0,African,1,1
Japan,2016,2017,2,0,Asia-Pacific,0,2
Uruguay,2016,2017,2,0,Eastern European,0,3
Ukraine,2016,2017,2,0,GRULAC,0,4
Ethiopia,2017,2018,2,0,African,0,0
Kazakhstan,2017,2018,2,0,Asia-Pacific,0,1
Bolivia,2017,2018,2,0,GRULAC,0,2
Italy,2017,2017,1,1,WEOG,0,3
Sweden,2017,2018,2,0,WEOG,0,4
Ivory Coast,2018,2019,2,0,African,0,0
Equatorial Guinea,2018,2019,2,0,African,0,1
Kuwait,2018,2019,2,0,Asia-Pacific,1,2
Peru,2018,2019,2,0,Eastern European,0,3
Netherlands,2018,2018,1,1,GRULAC,0,4
Poland,2018,2019,2,0,,0,5
South Africa,2019,2020,2,0,African,0,0
Indonesia,2019,2020,2,0,Asia-Pacific,0,1
Dominican Republic,2019,2020,2,0,GRULAC,0,2
Belgium,2019,2020,2,0,WEOG,0,3
Germany,2019,2020,2,0,WEOG,0,4
Niger,2020,2021,2,0,African,0,0
Tunisia,2020,2021,2,0,African,1,1
Vietnam,2020,2021,2,0,Asia-Pacific,0,2
Saint Vincent and the Grenadines,2020,2021,2,0,Eastern European,0,3
Estonia,2020,2021,2,0,GRULAC,0,4
Kenya,2021,2022,2,0,African,0,0
India,2021,2022,2,0,Asia-Pacific,0,1
Mexico,2021,2022,2,0,GRULAC,0,2
Ireland,2021,2022,2,0,WEOG,0,3
Norway,2021,2022,2,0,WEOG,0,4
Ghana,2022,2023,2,0,African,0,0
Gabon,2022,2023,2,0,African,0,1
United Arab Emirates,2022,2023,2,0,Asia-Pacific,1,2
Brazil,2022,2023,2,0,Eastern European,0,3
Albania,2022,2023,2,0,GRULAC,0,4
Mozambique,2023,2024,2,0,African,0,0
Japan,2023,2024,2,0,Asia-Pacific,0,1
Ecuador,2023,2024,2,0,GRULAC,0,2
Malta,2023,2024,2,0,WEOG,0,3
Switzerland,2023,2024,2,0,WEOG,0,4
Sierra Leone,2024,2025,2,0,African,0,0
Algeria,2024,2025,2,0,African,1,1
South Korea,2024,2025,2,0,Asia-Pacific,0,2
Guyana,2024,2025,2,0,Eastern European,0,3
Slovenia,2024,2025,2,0,GRULAC,0,4
Somalia,2025,2026,2,0,African,0,0
Pakistan,2025,2026,2,0,Asia-Pacific,0,1
Panama,2025,2026,2,0,GRULAC,0,2
Denmark,2025,2026,2,0,WEOG,0,3
Greece,2025,2026,2,0,WEOG,0,4
Liberia,2026,2027,2,0,African,0,0
Democratic Republic of the Congo,2026,2027,2,0,African,0,1
Bahrain,2026,2027,2,0,Asia-Pacific,1,2
Colombia,2026,2027,2,0,Eastern European,0,3
Latvia,2026,2027,2,0,GRULAC,0,4
Zimbabwe,2027,2028,2,0,African,0,0
Kyrgyzstan,2027,2028,2,0,Asia-Pacific,0,1
Trinidad and Tobago,2027,2028,2,0,GRULAC,0,2
Austria,2027,2028,2,0,WEOG,0,3
Portugal,2027,2028,2,0,WEOG,0,4
