response_label,code,China,Singapore,Cambodia,Japan,Malaysia,Mongolia,South Korea,Taiwan,Vietnam,Indonesia,Philippines,Thailand
"Unstable, chaotic, anarchy",823,0,0,0,5,0,11,12,27,0,0,32,0
Conflict,824,0,0,0,0,0,3,6,0,0,0,0,1
Lead to injustice,825,1,0,0,3,0,2,3,10,0,0,2,0
Obstruct economic development,826,0,0,0,0,0,1,1,0,0,0,3,0
Place too much on individual interests,827,1,0,0,4,0,1,10,0,0,0,0,0
The worst system,828,0,0,1,0,0,0,2,0,0,0,0,0
Does not exist,829,10,0,0,1,0,0,8,13,0,0,3,0
We cannot have democracy,830,6,0,0,2,1,0,2,0,0,0,1,0
Government ignore people’s need,831,1,0,1,4,0,0,0,2,0,0,2,0
Manipulation by politicians,832,0,0,0,1,0,1,3,6,0,0,2,0
Loss of freedom,833,0,0,0,0,0,0,0,1,0,0,3,0
Serve government's interest,834,0,1,0,3,0,0,0,0,0,0,3,0
The rich and the powerful dominate,835,1,0,0,7,0,8,3,1,0,0,0,2
Too much Freedom,836,1,0,0,2,0,14,6,8,1,0,5,0
Poverty is growing,837,0,0,0,11,0,2,0,0,0,0,0,0
Positive Appraisal of One's Own Country's Democracy,840,0,0,0,0,0,14,0,3,0,0,0,1
Negative Appraisal of One's Own Country's Democracy,850,0,0,0,1,0,13,0,42,0,0,0,0
Country reference,910,1,0,0,0,0,0,0,0,0,0,0,0
"Like United States, United Kingdom, Japan, etc.",911,4,0,0,9,0,0,6,9,0,0,0,0
"Not like North Korea, etc",912,0,0,0,2,0,0,1,0,0,0,0,0
"Political figures (e.g., Sun Yet-sun, Lee Teng-hui, Abraham",920,4,0,0,1,1,0,24,3,0,2,0,0
"Political parties or groups (e.g., DPP, KMT, etc)",921,10,0,0,2,6,5,5,0,0,16,0,0
"Other associations (state, politics, society)",922,0,0,0,2,0,1,4,0,0,0,0,0
